Kinase	norm.ANID	norm.ATHA	norm.CALB	norm.CCIN	norm.CNEO	norm.DDIS	norm.HSAP	norm.MBRE	norm.NCRA	norm.NIRR	norm.PCON	norm.PGRA	norm.PJIR	norm.SCER	norm.SCOMP	norm.SCRY	norm.SJAP	norm.SOCT	norm.SPOM	norm.TDEF	norm.TMEL	norm.UMAY	norm.YLIP
NAK protein kinase	9.28E-05	3.65E-05	0.000160746	0.000149936	0.000286738	8.12E-05	4.38E-05	0	0.00010248	0	7.48E-05	0.000126438	0	0.000169866	0.000142167	0.000193686	0	0.000200521	0.000195618	0	0.000133404	0.000294681	0.000155087
CAMK/DAPK/DRAK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/DYRK/PRP4 protein kinase	9.28E-05	0.000109425	0	0	0.000143369	0	0	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
ULK/FUSED protein kinase	0	3.65E-05	0	0	0	8.12E-05	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/MAPK/ERK7 protein kinase	0	0	0	0	0	8.12E-05	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL/LKB protein kinase	0	0	0	0	0	8.12E-05	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/NDR/NDR protein kinase	9.28E-05	0.00021885	0.000160746	0	0.000143369	0	8.76E-05	0.000108743	0.00010248	0	7.48E-05	0.000126438	0.000284252	0.000169866	0.000284333	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000266809	0.000147341	0.000155087
AGC/PKA protein kinase	0.000185684	3.65E-05	0.000321492	0.000224904	0.000286738	0.000162364	0.000175285	0.000217486	0.00020496	0	0.0001496	6.32E-05	0	0.000509597	0.000284333	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000266809	0.000294681	0.000155087
Atypical/PIKK/TRRAP protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK/NEK1 protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE11/MEKK2 protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/DYRK/YAK protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
CMGC/CDK/CDK9 protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	6.32E-05	0	0	0	0	0	0	0	0	0.000133404	0.000147341	0.000155087
CMGC/MAPK/NMO protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/PFTAIRE protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/PAKL protein kinase	0	0	0	0	0	8.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOPK protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKS protein kinase	9.28E-05	0	0.000160746	0	0.000143369	0	0	0	0.00010248	0	7.48E-05	6.32E-05	0.000284252	0.000169866	0	0	0	0	0	0	0.000133404	0.000147341	0
AGC/DMPK/ROCK protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK/SAK protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0.000149835	0	0	0.000284252	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL/BRSK protein kinase	0	0	0	0	0	8.12E-05	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CDK7 protein kinase	9.28E-05	0.000109425	0.000160746	7.50E-05	0.000143369	8.12E-05	8.76E-05	0.000108743	0.00010248	0	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
Atypical/PI4K protein kinase	0	0	0	7.50E-05	0.000143369	0	0	0	0	0	0	6.32E-05	0.000284252	0	0	0.000193686	0	0.000200521	0.000195618	0	0	0	0.000155087
CMGC/SRPK protein kinase	0.000557051	0.000182375	0.000321492	0.000449809	0.000143369	8.12E-05	0.000175285	0.000108743	0.00040992	0.000149835	0.0002244	0.000252876	0.000284252	0.000169866	0.000142167	0.000193686	0.00040992	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
ULK protein kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169866	0	0	0	0	0	0	0	0	0
TKL/MLK/HH498 protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/DICTY3 protein kinase	0	0	0	0	0	0.000324728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/TRBL protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/RIO/RIO1 protein kinase	9.28E-05	7.30E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/CDPK protein kinase	0	0.000765976	0	0	0	0	0	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/TAO protein kinase	0	0	0	0	0	0	0.000131464	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/AFK protein kinase	0	0	0	0	0	0.000162364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMK1 protein kinase	9.28E-05	3.65E-05	0	7.50E-05	0.000143369	0.000568274	0.000262927	0.000217486	0.00020496	0.000149835	0.0001496	0.000126438	0	0.000169866	0.000142167	0.000193686	0.00040992	0.000200521	0.000195618	0	0.000133404	0.000294681	0.000155087
TKL/DICTY5 protein kinase	0	3.65E-05	0	0	0	0.000324728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/NDR protein kinase	9.28E-05	7.30E-05	0	0.000299873	0	0.000487092	8.76E-05	0	0.00010248	0	0	6.32E-05	0.000284252	0.000339732	0	0	0	0	0	0.000216967	0	0.000147341	0
STE/STE7/MEK4 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/RCK protein kinase	0	0	0	7.50E-05	0.000143369	0	4.38E-05	0.000108743	0	0	0	0	0	0.000169866	0	0	0.00020496	0.000200521	0	0	0	0	0
Atypical/PI3K/PI4K protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/PDK1 protein kinase	9.28E-05	7.30E-05	0.000321492	7.50E-05	0.000143369	8.12E-05	4.38E-05	0.000217486	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000509597	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/CAMKL/KIN4 protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0	7.48E-05	0.000126438	0	0.000339732	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
