Kinase	norm.ANID	norm.ATHA	norm.CALB	norm.CCIN	norm.CNEO	norm.DDIS	norm.HSAP	norm.MBRE	norm.NCRA	norm.NIRR	norm.PCON	norm.PGRA	norm.PJIR	norm.SCER	norm.SCOMP	norm.SCRY	norm.SJAP	norm.SOCT	norm.SPOM	norm.TDEF	norm.TMEL	norm.UMAY	norm.YLIP
STE/STE20/YSK protein kinase	0.000278526	7.30E-05	0.000482238	0.000224904	0.000430108	8.12E-05	0.000131464	0.000108743	0.00030744	0.000449506	0.0002244	0.000189657	0.000852757	0.000339732	0.000284333	0.000581058	0.00061488	0.000601564	0.000586854	0.0006509	0.000400213	0.000442022	0.000465261
SLOB protein kinase	0	0	0	0	0	0.000162364	4.38E-05	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/LISK/LIMK protein kinase	0	0	0	0	0	0	0.000219106	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAK/BIKE protein kinase	9.28E-05	3.65E-05	0.000321492	0	0	0.000162364	8.76E-05	0.000108743	0.00010248	0	7.48E-05	0	0	0.000509597	0.000142167	0.000581058	0.00061488	0.000601564	0.000586854	0	0.000133404	0	0.000155087
serine/threonine protein kinase	0.001392628	0.001750802	0.000642983	0.000974586	0.000430108	0.001786004	0.000438212	0.006524576	0.00112728	0.001348517	0.000374	0.000568972	0	0.000339732	0.000853	0.000387372	0.00081984	0.000601564	0.000391236	0.000433934	0.000533618	0.000589362	0.000465261
NKF3 protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CDK8 protein kinase	9.28E-05	3.65E-05	0.000160746	0	0.000143369	0	0	0.000108743	0.00010248	0.000149835	7.48E-05	0	0	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
WNK protein kinase	0	0.000401226	0	0	0	0	0.000219106	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/SHK protein kinase	0	0	0	0	0	0.00040591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HASPIN protein kinase	9.28E-05	3.65E-05	0	7.50E-05	0.000143369	0	4.38E-05	0.000108743	0.00010248	0	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0	0.000147341	0.000155087
AGC/PKG protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCY1 protein kinase	0.000185684	0.000109425	0.000321492	0.000149936	0.000286738	0.000162364	0.000131464	0.000108743	0.00020496	0.00029967	0.0001496	0.000126438	0.000284252	0.000339732	0.000284333	0.000387372	0.00040992	0.000401043	0.000391236	0.000433934	0.000266809	0.000294681	0.000310174
STE/STE7/MKK protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
TKL/RAF/KSR protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK protein kinase	0.000278526	0.000109425	0.000160746	0.000299873	0.000430108	0.00081182	0.000262927	0.000434972	0.0005124	0.00029967	0.0002992	0.000126438	0.000852757	0.000339732	0.0004265	0.000581058	0.00061488	0.000802085	0.000586854	0.000433934	0.000400213	0.000294681	0.000310174
CAMKK/ELM protein kinase	0	0	0.000321492	0	0.000143369	0	0	0	0	0	0	6.32E-05	0.000284252	0	0	0	0	0	0	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/PSK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MOS protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WEE/WEE-UNCLASSIFIED protein kinase	9.28E-05	0	0.000160746	7.50E-05	0.000143369	0	0	0	0	0.000149835	7.48E-05	0	0	0	0.000142167	0.000387372	0.00020496	0.000401043	0.000391236	0	0.000133404	0	0.000155087
CK1/CK1/CK1-A protein kinase	0	7.30E-05	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBCK protein kinase	0	0	0	0	0	8.12E-05	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CDK10 protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0.000142167	0	0	0	0	0	0	0	0
CK1/CK1 protein kinase	0	0.000328275	0	7.50E-05	0	0	0	0.000108743	0	0	0	0.000189657	0	0.000169866	0	0	0	0	0	0	0	0	0
TKL/TKL-CCIN protein kinase	0	0	0	0.000974586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/RSKL protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/MLK/TAK1 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/KHS protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/YANK protein kinase	9.28E-05	0	0	0.000149936	0.000143369	0	0.000131464	0	0.00010248	0.000149835	7.48E-05	0.000126438	0	0	0.000142167	0.000193686	0	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
Atypical/ABC1 protein kinase	9.28E-05	0.000401226	0.000160746	0.000149936	0.000143369	0.000243546	0	0.000108743	0	0.000149835	7.48E-05	0	0	0.000169866	0.000142167	0.000193686	0	0.000200521	0.000195618	0.000216967	0	0.000147341	0
TKL/STKR/STKR1 protein kinase	0	0	0	0	0	0	0.000306748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEK/GCN2 protein kinase	9.28E-05	3.65E-05	0.000160746	0	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
STE/STE7/MEK7 protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0	0.000162364	0	0	0.00010248	0	7.48E-05	0	0	0	0.000142167	0	0	0	0	0	0	0	0
BUD32 protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0.000108743	0.00010248	0	7.48E-05	0.000126438	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000294681	0.000155087
AGC/NDR/NDR-UNCLASSIFIED protein kinase	9.28E-05	0	0.000160746	0	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0	0.000133404	0.000147341	0.000155087
CMGC/CK2 protein kinase	9.28E-05	0.0001459	0.000321492	7.50E-05	0.000143369	0.000162364	0.000131464	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000310174
STE/STE11/BCK1 protein kinase	9.28E-05	0	0.000160746	0.000149936	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	0.000126438	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
STE/STE20/PAKB protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRBP protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CK1/CK1/CK1-G protein kinase	9.28E-05	0	0.000321492	7.50E-05	0.000143369	0	0.000131464	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000581058	0.00061488	0.000601564	0.000586854	0.000216967	0.000133404	0.000147341	0.000155087
RGC/RGC protein kinase	0	0	0	0	0	0	0.000219106	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STE/STE20/PAKA protein kinase	0.000185684	0	0.000321492	0.000224904	0.000286738	0.000324728	0.000131464	0.000108743	0.00020496	0.00029967	0.0002244	0.000126438	0.000568505	0.000509597	0.000284333	0.000387372	0.00061488	0.000401043	0.000391236	0.000433934	0.000266809	0.000442022	0.000310174
SAMK protein kinase	0	0	0	0	0	0.000324728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/PKC/PKCI protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/RIO/RIO2 protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
Atypical/ALPHA protein kinase	0	0	0	0	0	8.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRE protein kinase	9.28E-05	0.000109425	0.000160746	7.50E-05	0.000143369	0.000730638	8.76E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000568505	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
CMGC/DYRK/DYRK1 protein kinase	0	0	0	0	0	0	0	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/DAPK/DAPK protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/PKC/PKCA protein kinase	0	0	0	0	0	0	0.000131464	0.000543715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/RSK/RSK-UNCLASSIFIED protein kinase	9.28E-05	0.000656551	0.000160746	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000339732	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0	0.000133404	0.000147341	0.000155087
TKL/LRRK protein kinase	0	0	0	0	0	0.000974184	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMK1/CAMK1-RCK protein kinase	9.28E-05	0	0.000321492	7.50E-05	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000568505	0.000169866	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
CMGC/DYRK protein kinase	0	0.0001459	0	7.50E-05	0	0.000243546	0.000482033	0.000217486	0	0.000149835	0	0	0.000284252	0	0.000142167	0	0	0	0	0	0.000133404	0	0
NAK/GAK protein kinase	0	0	0	0	0	0	0	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/DICTY1 protein kinase	0	0	0	0	0	0.000243546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/MLK/LZK protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGC/GRK/BARK protein kinase	0	0	0	0	0	0	8.76E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL/NUAK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/PIKK/ATM protein kinase	0	0	0	0	0	0	4.38E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK/NEK8 protein kinase	0	0	0	0	0	0	4.38E-05	0.000217486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMKL/AMPK protein kinase	9.28E-05	0.000948351	0.000160746	7.50E-05	0.000143369	8.12E-05	8.76E-05	0.000108743	0.00010248	0	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
STE/STE7/MEK3 protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUR protein kinase	9.28E-05	0.000109425	0.000160746	7.50E-05	0.000143369	8.12E-05	0.000131464	0.000108743	0.00020496	0	7.48E-05	6.32E-05	0	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
CDC7 protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	8.12E-05	4.38E-05	0	0.00010248	0.00029967	7.48E-05	6.32E-05	0.000568505	0.000169866	0.000284333	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
CAMK/CAMKL/SNRK protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atypical/ABC1/ABC1-D protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/MAPK protein kinase	9.28E-05	0.000729501	0.000321492	0.000299873	0.000573477	8.12E-05	0.000131464	0.000108743	0.00010248	0.000149835	7.48E-05	0.000252876	0.000284252	0.000339732	0.000142167	0.000193686	0.00040992	0.000200521	0.000391236	0.000216967	0.000133404	0.000589362	0.000155087
CAMK/CAMKL/MARK protein kinase	9.28E-05	0	0.000160746	7.50E-05	0	0.000243546	0.000175285	0.000217486	0	0	0	6.32E-05	0	0.000169866	0.000142167	0	0.00020496	0	0	0	0	0	0.000155087
Atypical/HISK protein kinase	0	0	0.000160746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CK1/TTBK protein kinase	0	0	0	0	0	8.12E-05	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/DCAMKL protein kinase	0	0	0	0	0	0	0.000131464	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK/CAMK2 protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TKL/STKR/STKR2 protein kinase	0	0	0	0	0	0	0.000131464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAL protein kinase	0.000278526	0	0.000803729	0.000224904	0.000286738	0	0	0	0.00030744	0.000449506	0.0002244	0.000126438	0.000284252	0.001528792	0.0004265	0.000774743	0.00081984	0.000802085	0.000978091	0.0006509	0.000400213	0.000294681	0.000620347
CK1/CK1/CK1-D protein kinase	9.28E-05	0.000255325	0.000160746	0.000149936	0.000143369	0.000162364	8.76E-05	0.000108743	0.00010248	0.000149835	7.48E-05	0.000189657	0.000284252	0.000169866	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000216967	0.000133404	0.000147341	0.000155087
TKL/LISK/TESK protein kinase	0	0	0	0	0	0	8.76E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMGC/CDK/CDC2 protein kinase	9.28E-05	0.000182375	0.000160746	7.50E-05	0.000143369	8.12E-05	8.76E-05	0.000217486	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000568505	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
AGC protein kinase	9.28E-05	0.000255325	0.000160746	0.000524777	0.000430108	0.000649456	4.38E-05	0.000108743	0.00010248	0.000149835	0.0001496	0.000252876	0.000284252	0.000169866	0.000142167	0.000774743	0.0010248	0.000802085	0.000586854	0	0.000133404	0.000294681	0.000310174
AGC/DMPK protein kinase	0	0	0	0	0	0	4.38E-05	0.000108743	0	0	0	6.32E-05	0	0	0	0	0	0	0	0	0	0.000147341	0
CAMK/CAMKL/GIN4 protein kinase	9.28E-05	0	0.000321492	0.000149936	0.000143369	0	0	0	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000568505	0.000509597	0.000142167	0.000387372	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
AGC/RSK/RSKP90 protein kinase	0	0	0	0	0	0	0.000175285	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMKK protein kinase	9.28E-05	0	0	0.000149936	0	0	0	0	0	0.000149835	7.48E-05	0	0	0.000509597	0.000142167	0.000387372	0.00020496	0.000200521	0.000391236	0	0	0	0
TKL/GDT protein kinase	0	0	0	0	0	0.000487092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB protein kinase	9.28E-05	3.65E-05	0.000160746	7.50E-05	0.000143369	0.000162364	8.76E-05	0.000108743	0.00010248	0.000149835	7.48E-05	6.32E-05	0.000284252	0.000169866	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0.000216967	0.000133404	0.000147341	0.000155087
STE/STE11/ASK protein kinase	0	0	0	0	0	0	0.000131464	0.000108743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEK protein kinase	9.28E-05	0	0	7.50E-05	0	0.000487092	0.000131464	0.000326229	0	0	7.48E-05	0	0	0	0.000142167	0.000387372	0.00040992	0.000401043	0.000391236	0.000433934	0.000133404	0	0
CAMK/RAD53 protein kinase	9.28E-05	0	0.000321492	0	0	0.000162364	4.38E-05	0	0.00010248	0	0	6.32E-05	0	0	0.000284333	0.000193686	0.00020496	0.000200521	0.000391236	0.000216967	0.000266809	0	0
STE/STE7 protein kinase	9.28E-05	0.00021885	0.000160746	0.000224904	0.000143369	8.12E-05	4.38E-05	0.000326229	0.00010248	0.000149835	7.48E-05	6.32E-05	0	0.000339732	0.000142167	0.000193686	0.00020496	0.000200521	0.000195618	0	0.000133404	0.000147341	0.000155087
